[2025-07-17T02:47:07.455Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=241211 Certificado JIRA.png, size=113239, mimeType=image/png, hash=30666551248e2f9d9a9f2a3098047904fee96be3659fb581b53f838f288bb8e1}
[2025-07-17T02:47:07.720Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=250509 Constancia de SituaciÃ³n Fiscal David Gutierrez.pdf, size=140261, mimeType=application/pdf, hash=89ea98cad2219208e93bfa596da9fff9722f75856ddd7425ce7d0120a206287d}
[2025-07-17T02:47:07.863Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=20180913_210538.png, size=78523, mimeType=image/png, hash=bd01f23e511c1c6560f7ef6ef02f78e0552932ddabe4fe797104a8ad399805ef}
[2025-07-17T02:47:07.994Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=CertificaciÃ³n PMP David Gutierrez.png, size=179383, mimeType=image/png, hash=0521546e320eaf0ed5c065d6d06f4edbbf0da7177d015e09b44d801db9100c4b}
[2025-07-17T02:47:08.034Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=FB_IMG_1539010025918.jpg, size=55592, mimeType=image/jpeg, hash=29ea9f6649b190a223f2f918b1085fecf600a1d2f1a573b74213671394e0f2b3}
[2025-07-17T02:47:08.138Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=Imagen Bineo.png, size=159746, mimeType=image/png, hash=77abb5629ae39cea8751b5923e185a26ade9d373a48cc7381b3af38e38f42eed}
[2025-07-17T02:47:08.278Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=CertificaciÃ³n SAFe 5 Scrum Master David Gutierrez.png, size=186468, mimeType=image/png, hash=f9469671bd89dca675f7747f4e9d44f454f109920018952bdf2d0d02813a09c6}
[2025-07-17T02:47:08.315Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=Foto_de_perfil_David_Gtz-removebg.png, size=485457, mimeType=image/png, hash=a6cd7293736d82ed23fb9ac956842e034294c4f8a8522588a08630614436ab10}
[2025-07-20T04:29:32.541Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=CertificaciÃ³n PMP David Gutierrez.png, size=179383, mimeType=image/png, hash=0521546e320eaf0ed5c065d6d06f4edbbf0da7177d015e09b44d801db9100c4b}
[2025-07-20T04:29:32.674Z] [INFO] [UPLOAD] File upload successful | userId=0f0ef7e6-11ef-466c-b404-15914b22381e | ip=::ffff:127.0.0.1 | file={filename=Imagen Bineo.png, size=159746, mimeType=image/png, hash=77abb5629ae39cea8751b5923e185a26ade9d373a48cc7381b3af38e38f42eed}
